"DeviceMouse";"true";
"DeviceTouch";"false";
"DevicePen";"false";
"DeviceType";"";
"UserName";"x";
"UserAge";"21";
"UserGender";"FEMALE";
"UserWritingHand";"RIGHT";
"UserMouseHand";"RIGHT";
"UserWritingDirection";"LEFTTORIGHT";
"UserTenFingerSystem";"false";
"UserComment";"";
"ExperimentType";"TEXT";
"ExperimentRounds";"30";
"Version";"1.0.0";
"ComputerName";"Torben";
"OperatingSystem";"Windows 7";
"Timestamp";"Sat Jun 09 10:36:07 CEST 2018";

Expected Key;Pressed Key;Time in ms;
CTRL + V;CTRL + V;6560;
CTRL + S;CTRL + S;1888;
CTRL + V;CTRL + V;2367;
CTRL + X;CTRL + X;1335;
CTRL + S;CTRL + S;992;
CTRL + C;CTRL + K;2207;
CTRL + C;CTRL + C;1399;
CTRL + P;CTRL + P;1383;
CTRL + S;CTRL + S;1094;
CTRL + V;CTRL + C;1672;
CTRL + V;CTRL + V;2672;
CTRL + X;CTRL + X;1216;
CTRL + C;CTRL + C;2520;
CTRL + P;CTRL + P;1135;
CTRL + X;CTRL + X;1104;
CTRL + V;CTRL + V;1736;
CTRL + X;CTRL + X;959;
CTRL + C;CTRL + C;1712;
CTRL + S;CTRL + S;864;
CTRL + C;CTRL + C;2447;
CTRL + X;CTRL + X;936;
CTRL + S;CTRL + S;760;
CTRL + P;CTRL + P;1095;
CTRL + C;CTRL + C;1238;
CTRL + V;CTRL + V;1335;
CTRL + X;CTRL + X;855;
CTRL + V;CTRL + V;1432;
CTRL + C;CTRL + C;1711;
CTRL + P;CTRL + P;1111;
CTRL + X;CTRL + X;974;
CTRL + P;CTRL + P;1264;
CTRL + S;CTRL + S;760;
