"DeviceMouse";"true";
"DeviceTouch";"false";
"DevicePen";"false";
"DeviceType";"";
"UserName";"x";
"UserAge";"21";
"UserGender";"MALE";
"UserWritingHand";"RIGHT";
"UserMouseHand";"RIGHT";
"UserWritingDirection";"LEFTTORIGHT";
"UserTenFingerSystem";"false";
"UserComment";"";
"ExperimentType";"TEXT";
"ExperimentRounds";"30";
"Version";"1.0.0";
"ComputerName";"Torben";
"OperatingSystem";"Windows 7";
"Timestamp";"Sat Jun 09 10:39:43 CEST 2018";

Expected Key;Pressed Key;Time in ms;
CTRL + C;CTRL + C;1611;
CTRL + V;CTRL + V;1392;
CTRL + P;CTRL + P;1720;
CTRL + X;CTRL + X;1111;
CTRL + C;CTRL + C;1135;
CTRL + V;CTRL + V;1061;
CTRL + X;CTRL + X;1112;
CTRL + S;CTRL + S;1055;
CTRL + X;CTRL + X;1342;
CTRL + P;CTRL + P;1848;
CTRL + X;CTRL + X;1088;
CTRL + S;CTRL + S;1184;
CTRL + P;CTRL + V;1272;
CTRL + P;CTRL + P;871;
CTRL + X;CTRL + X;1087;
CTRL + S;CTRL + S;1504;
CTRL + V;CTRL + V;1392;
CTRL + S;CTRL + S;1008;
CTRL + X;CTRL + X;1152;
CTRL + V;CTRL + V;1242;
CTRL + C;CTRL + C;1408;
CTRL + X;CTRL + X;1415;
CTRL + S;CTRL + S;943;
CTRL + C;CTRL + C;1183;
CTRL + S;CTRL + S;1007;
CTRL + X;CTRL + X;1272;
CTRL + V;CTRL + V;1448;
CTRL + P;CTRL + P;1232;
CTRL + V;CTRL + V;1204;
CTRL + P;CTRL + P;1328;
CTRL + C;CTRL + C;1664;
