"DeviceMouse";"true";
"DeviceTouch";"false";
"DevicePen";"false";
"DeviceType";"";
"UserName";"*";
"UserAge";"17";
"UserGender";"MALE";
"UserWritingHand";"RIGHT";
"UserMouseHand";"RIGHT";
"UserWritingDirection";"LEFTTORIGHT";
"UserTenFingerSystem";"true";
"UserComment";"";
"ExperimentType";"TEXT";
"ExperimentRounds";"25";
"Version";"1.0.0";
"ComputerName";"Torben";
"OperatingSystem";"Windows 7";
"Timestamp";"Sat Jun 09 10:56:53 CEST 2018";

Expected Key;Pressed Key;Time in ms;
CTRL + P;CTRL + P;3080;
CTRL + S;CTRL + S;4104;
CTRL + C;CTRL + C;1943;
CTRL + P;CTRL + P;2639;
CTRL + C;CTRL + C;1840;
CTRL + S;CTRL + S;1664;
CTRL + V;CTRL + V;1991;
CTRL + C;CTRL + C;1416;
CTRL + P;CTRL + P;3657;
CTRL + V;CTRL + V;2407;
CTRL + X;CTRL + X;4615;
CTRL + S;CTRL + S;2408;
CTRL + V;CTRL + V;2455;
CTRL + P;CTRL + P;1848;
CTRL + C;CTRL + C;1344;
CTRL + X;CTRL + X;2951;
CTRL + V;CTRL + V;2056;
CTRL + S;CTRL + S;2000;
CTRL + V;CTRL + V;2360;
CTRL + C;CTRL + C;1576;
CTRL + P;CTRL + O;2320;
CTRL + P;CTRL + P;1232;
CTRL + S;CTRL + S;1376;
CTRL + P;CTRL + O;1295;
CTRL + P;CTRL + P;767;
CTRL + V;CTRL + V;2376;
CTRL + S;CTRL + S;1632;
