"DeviceMouse";"true";
"DeviceTouch";"false";
"DevicePen";"false";
"DeviceType";"";
"UserName";"lea";
"UserAge";"12";
"UserGender";"FEMALE";
"UserWritingHand";"LEFT";
"UserMouseHand";"LEFT";
"UserWritingDirection";"LEFTTORIGHT";
"UserTenFingerSystem";"false";
"UserComment";"";
"ExperimentType";"TEXT";
"ExperimentRounds";"20";
"Version";"1.0.0";
"ComputerName";"Torben";
"OperatingSystem";"Windows 7";
"Timestamp";"Sat Jun 09 11:23:25 CEST 2018";

Expected Key;Pressed Key;Time in ms;
CTRL + S;CTRL + S;4007;
CTRL + C;CTRL + C;6015;
CTRL + P;CTRL + P;2848;
CTRL + X;CTRL + X;3855;
CTRL + P;CTRL + P;1728;
CTRL + V;CTRL + V;8384;
CTRL + S;CTRL + S;4040;
CTRL + V;CTRL + V;4729;
CTRL + S;CTRL + S;2744;
CTRL + V;CTRL + V;4338;
CTRL + S;CTRL + S;4392;
CTRL + P;CTRL + P;2001;
CTRL + V;CTRL + V;6176;
CTRL + C;CTRL + C;4329;
CTRL + S;CTRL + S;2567;
CTRL + V;CTRL + V;2888;
CTRL + S;CTRL + S;2775;
CTRL + P;CTRL + P;1640;
CTRL + S;CTRL + S;1609;
CTRL + V;CTRL + V;2544;
