"DeviceMouse";"true";
"DeviceTouch";"false";
"DevicePen";"false";
"DeviceType";"";
"UserName";"Jon";
"UserAge";"18";
"UserGender";"MALE";
"UserWritingHand";"LEFT";
"UserMouseHand";"LEFT";
"UserWritingDirection";"LEFTTORIGHT";
"UserTenFingerSystem";"false";
"UserComment";"";
"ExperimentType";"ICON";
"ExperimentRounds";"30";
"Version";"1.0.0";
"ComputerName";"Torben";
"OperatingSystem";"Windows 7";
"Timestamp";"Sat Jun 09 11:46:31 CEST 2018";

Expected Key;Pressed Key;Time in ms;
CTRL + X;CTRL + X;1532;
CTRL + S;CTRL + S;1487;
CTRL + P;CTRL + P;1488;
CTRL + S;CTRL + S;1064;
CTRL + C;CTRL + C;1144;
CTRL + X;CTRL + X;960;
CTRL + V;CTRL + C;1023;
CTRL + V;CTRL + V;544;
CTRL + X;CTRL + X;913;
CTRL + P;CTRL + P;1192;
CTRL + S;CTRL + S;928;
CTRL + V;CTRL + V;1857;
CTRL + P;CTRL + P;1120;
CTRL + S;CTRL + S;808;
CTRL + C;CTRL + C;936;
CTRL + V;CTRL + V;928;
CTRL + P;CTRL + P;968;
CTRL + V;CTRL + C;1504;
CTRL + V;CTRL + V;447;
CTRL + X;CTRL + X;992;
CTRL + C;CTRL + C;824;
CTRL + X;CTRL + X;759;
CTRL + C;CTRL + C;736;
CTRL + X;CTRL + X;745;
CTRL + V;CTRL + C;888;
CTRL + V;CTRL + V;353;
CTRL + C;CTRL + C;800;
CTRL + S;CTRL + S;987;
CTRL + P;CTRL + P;928;
CTRL + V;CTRL + C;792;
CTRL + V;CTRL + V;336;
CTRL + P;CTRL + P;992;
CTRL + V;CTRL + C;848;
CTRL + V;CTRL + V;304;
CTRL + X;CTRL + X;904;
